Type,NORMAL,FIRE,WATER,ELECTRIC,GRASS,ICE,FIGHTING,POISON,GROUND,FLYING,PSYCHIC,BUG,ROCK,GHOST,DRAGON,DARK,STEEL,FAIRY
NORMAL,,,,,,,,,,,,,0.5,0,,,0.5,
FIRE,,0.5,0.5,,2,2,,,,,,2,0.5,,0.5,,2,
WATER,,2,0.5,,0.5,,,,2,,,,2,,0.5,,,
ELECTRIC,,,2,0.5,0.5,,,,0,2,,,,,0.5,,,
GRASS,,0.5,2,,0.5,,,0.5,2,0.5,,0.5,2,,0.5,,0.5,
ICE,,0.5,0.5,,2,0.5,,,2,2,,,,,2,,0.5,
FIGHTING,2,,,,,2,,0.5,,0.5,0.5,0.5,2,0,,2,2,0.5
POISON,,,,,2,,,0.5,0.5,,,,0.5,0.5,,,0,2
GROUND,,2,,2,0.5,,,2,,0,,0.5,2,,,,2,
FLYING,,,,0.5,2,,2,,,,,2,0.5,,,,0.5,
PSYCHIC,,,,,,,2,2,,,0.5,,,,,0,0.5,
BUG,,0.5,,,2,,0.5,0.5,,0.5,2,,,0.5,,2,0.5,0.5
ROCK,,2,,,,2,0.5,,0.5,2,,2,,,,,0.5,
GHOST,0,,,,,,,,,,2,,,2,,0.5,,
DRAGON,,,,,,,,,,,,,,,2,,0.5,0
DARK,,,,,,,0.5,,,,2,,,2,,0.5,,0.5
STEEL,,0.5,0.5,0.5,,2,,,,,,,2,,,,0.5,2
FAIRY,,0.5,,,,,2,0.5,,,,,,,2,2,0.5,